sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2000","2000",122.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2001","2001",126.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2002","2002",127.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2003","2003",126,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2004","2004",126.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2005","2005",127.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2006","2006",129.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2007","2007",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2008","2008",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2009","2009",131.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2010","2010",134.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2011","2011",138,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2012","2012",137.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FIN","Finland","2013","2013",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2000","2000",169.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2001","2001",171.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2002","2002",171.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2003","2003",168.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2004","2004",161.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2005","2005",162.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2006","2006",162.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2007","2007",160.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2008","2008",167.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2009","2009",165.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2010","2010",163.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2011","2011",161.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2012","2012",157.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","FRA","France","2013","2013",159.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2000","2000",142.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DEU","Germany","2001","2001",137.1,,
